"CA_MPA_Name_Short","year","y","lnDiff","mpa","reference","Diff","resp","time","type","Location","Hectares","source","BA"
"Naples SMCA",2008,"Strongylocentrotus purpuratus",2.31126821556751,0.494724836042201,0.0490447676076418,10.0872093023256,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2009,"Strongylocentrotus purpuratus",1.1575099299156,0.453664100370687,0.142571998859424,3.182,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2010,"Mesocentrotus franciscanus",2.15568570873911,0.0298975924537823,0.00346285103552331,8.63380842753005,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2010,"Strongylocentrotus purpuratus",0.47573430395472,0.319361277445109,0.198460222412318,1.60919540229885,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2011,"Mesocentrotus franciscanus",2.04444843351586,0.635863195570324,0.0823134898860871,7.72489656859755,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2011,"Strongylocentrotus purpuratus",0.0360977055003109,0.741366888452957,0.715082501948983,1.03675713841736,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2012,"Mesocentrotus franciscanus",0.626788404740531,1.00115428367851,0.534921759484392,1.87159012683185,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2012,"Strongylocentrotus purpuratus",0.687894658846159,0.721764709439598,0.362782884040378,1.98952249731623,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2013,"Mesocentrotus franciscanus",0.586678844802561,0.692214144555486,0.38498967678897,1.79800702795187,"Bio",1,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2013,"Strongylocentrotus purpuratus",0.267466739142108,0.1460470642692,0.111772123675966,1.30665016880774,"Bio",1,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2014,"Mesocentrotus franciscanus",0.61436893972997,0.825140859207267,0.446386500798717,1.84848972298859,"Bio",2,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2014,"Strongylocentrotus purpuratus",-0.428795218799214,0.225355757824249,0.346012713358749,0.651293288147472,"Bio",2,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2015,"Mesocentrotus franciscanus",0.708641605073874,0.373314583023164,0.183787435001175,2.03123017098952,"Bio",3,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2015,"Strongylocentrotus purpuratus",-0.0333017939682905,0.147673482013081,0.152674076129504,0.96724660634474,"Bio",3,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2016,"Mesocentrotus franciscanus",2.55798115309961,0.239110619728317,0.0185217392316366,12.9097282246527,"Bio",4,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2016,"Strongylocentrotus purpuratus",-0.190977916969217,0.0777370691675179,0.0940954922143252,0.826150831864006,"Bio",4,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2017,"Mesocentrotus franciscanus",0.0602367456818391,0.0649225246229629,0.06112725779315,1.0620879615221,"Bio",5,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2017,"Strongylocentrotus purpuratus",-1.07435874202299,0.0726821689652581,0.212821721670139,0.341516685396949,"Bio",5,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2018,"Mesocentrotus franciscanus",0.971645728940574,0.149183616173035,0.0564599841235274,2.64228937519075,"Bio",6,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2018,"Strongylocentrotus purpuratus",0.130105635412892,0.479228815703422,0.420764183488691,1.13894869028533,"Bio",6,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2019,"Mesocentrotus franciscanus",1.75972772479106,0.247423346305524,0.0425795076879826,5.81085502722605,"Bio",7,"SMCA","ML",673.8031024,"LTER","After"
